displayName.text,primaryTypeDisplayName.text,shortFormattedAddress,rating,userRatingCount,googleMapsUri,websiteUri
Akira Back,Restaurant,"30 Beach Road, Level B1M",4.4,530,https://maps.google.com/?cid=5125304792591169433,https://www.akiraback.sg/
Gunther's,French restaurant,"36 Purvis St, #01-03, Singapore",4.5,289,https://maps.google.com/?cid=17914582875135191449,http://www.gunthers.com.sg/
Ramen Keisuke Tonkotsu King Four Seasons,Ramen restaurant,"158 Rochor Rd, Singapore",4.3,1413,https://maps.google.com/?cid=2585149239857853928,https://www.keisuke.sg/tonkotsu-king-four-seasons-bugis-village
Kiwami: Ramen & Gyoza Bar (Suntec City),Ramen restaurant,"3 Temasek Blvd, #02-458, Singapore",4.5,771,https://maps.google.com/?cid=10305045549521795900,http://www.kiwami.com.sg/
Menya Kokoro @ Suntec City,Ramen restaurant,"3 Temasek Boulevard, Mall, #03-313 Suntec City",4.5,1461,https://maps.google.com/?cid=5185595309028418256,https://www.menya-kokoro.com/
Ramen Champion,Ramen restaurant,"201 Victoria St, #04-07 Bugis+, Singapore",4.0,826,https://maps.google.com/?cid=13402260682503207894,https://ramenchampion.com.sg/
Ichikokudo Hokkaido Ramen,Japanese restaurant,"B1-135 (Tower 2) Suntec City Mall, 3 Temasek Blvd, #B1-135 3, Singapore",4.2,1086,https://maps.google.com/?cid=630662753709793674,http://www.ichikokudo.com/
MASHI NO MASHI SINGAPORE,Ramen restaurant,"124 Beach Rd, #01-04 Guoco Midtown, Singapore",4.2,208,https://maps.google.com/?cid=12523648524617575366,https://www.mashinomashi.sg/
Marutama Ramen (Bugis+),Japanese restaurant,"201 Victoria St, #04-02 Bugis+, Singapore",4.0,131,https://maps.google.com/?cid=6016371196911699754,http://www.marutama.com.sg/
Kanshoku Ramen Bar (Raffles City),Japanese restaurant,"252 North Bridge Rd, #B1-81 Raffles City Robinsons, Singapore",3.8,42,https://maps.google.com/?cid=13372893052905383657,https://www.capitaland.com/sg/malls/rafflescity/en/stores/kanshoku-ramen-bar-.html
Ajisen Ramen (Bugis Junction),Ramen restaurant,"Bugis Junction, 200 Victoria St, Bugis Junction, #01-01, Singapore",3.6,449,https://maps.google.com/?cid=11375650398127062654,https://www.ajisen.com.sg/
Aburi Kaisen Don Keisuke,Japanese restaurant,"201 Victoria St, #04-01 Bugis+, Singapore",4.0,349,https://maps.google.com/?cid=16907822367438600878,http://www.keisuke.sg/aburi-kaisen-don-keisuke
ENChanko Menya & Kamameshi,Japanese restaurant,"3 Temasek Blvd, B1-122A Suntec City, Singapore",4.8,312,https://maps.google.com/?cid=13846627671618860308,https://enchanko.com.sg/
Aburi-EN,Japanese restaurant,"3 Temasek Blvd, #B1-121, Singapore",4.5,835,https://maps.google.com/?cid=16141657560553546871,https://aburi-en.com/
Kageyama Suntec City,Restaurant,"3 Temasek Blvd, #02-605 Suntec City, Singapore",4.3,57,https://maps.google.com/?cid=5055112566851113365,
Saigon King,Vietnamese restaurant,"26 Beach Rd, B1-19 South Beach Avenue, Singapore",4.9,103,https://maps.google.com/?cid=268964034246300663,
341 Beach Road Pho (Original),Vietnamese restaurant,"341 Beach Rd, #01-06, Singapore",4.5,107,https://maps.google.com/?cid=5221846494435831136,
Mrs Pho Bussorah Street (former Beach Road),Vietnamese restaurant,"73 Bussorah St, Singapore",4.3,2104,https://maps.google.com/?cid=8191685269363374468,http://www.mrspho.com/
Ganh Xua (GX) Banh Mi - Bugis,Vietnamese restaurant,"2 Tan Quee Lan St, #01-01, Singapore",4.6,88,https://maps.google.com/?cid=2131894681805546425,https://baguettecoffee.com/
2 Béo Vietnamese Restaurant,Restaurant,"73 Bussorah St, Singapore",4.9,42,https://maps.google.com/?cid=5465313233510979198,
OC MAI (VIETNAMESE/WESTERN CUISINES),Vietnamese restaurant,"180 Bencoolen St, #01-07 The Bencoolen, The Bencoolen Office Tower, Singapore",3.7,157,https://maps.google.com/?cid=11671923855228527917,
Bistro Eminami Halal Vietnam,Vietnamese restaurant,"46 Kandahar St, Singapore",4.7,361,https://maps.google.com/?cid=12632971640907519727,https://eminami.sg/
Shoon Kou Cafe (3rd floor),Vietnamese restaurant,"3 New Bugis St, #03-38, Singapore",3.6,28,https://maps.google.com/?cid=10739835135653120814,
Yang Guo Fu Mala Tang杨国福麻辣烫,Chinese restaurant,"201 Victoria St, #01-16 Bugis+, Singapore",4.4,965,https://maps.google.com/?cid=13791789628579994231,https://yangguofumalatang.oddle.me/en_SG/
BÁNH MÌ KHÔNG? | Vietnam Food Singapore,Vietnamese restaurant,"40 Arab St, Singapore",5.0,14,https://maps.google.com/?cid=12995047628095137877,https://www.banhmikhong.com.sg/
Seow Choon Hua Restaurant,Chinese restaurant,"327 Beach Rd, Singapore",4.2,404,https://maps.google.com/?cid=9912606745625819542,
Blanco Court Fried Fish Noodles,Restaurant,"325 Beach Rd, Singapore",4.3,739,https://maps.google.com/?cid=17369208730872387882,
Hong Kong Dim Sum Shop,Chinese restaurant,"2 Liang Seah St, Singapore",3.4,95,https://maps.google.com/?cid=9166381337987381367,
ASIAN MARKET CAFE,Restaurant,"80 Bras Basah Rd, Level 2 Fairmont, Raffles City Robinsons, Singapore",3.9,749,https://maps.google.com/?cid=15781336573999130644,https://www.fairmont-singapore.com/dining/asian-market-cafe/
Asian Twist Express,Cafe,"3 Temasek Blvd, #02-601, Singapore",4.4,100,https://maps.google.com/?cid=16605859327956633205,https://www.365food.com.sg/
Clover Plant Based Kitchen and Bar,Restaurant,"18 Pahang St, Singapore",4.7,102,https://maps.google.com/?cid=13104670032835248145,https://social.quandoo.com/en/groups/Clover%20Plant%20Based%20Kitchen%20and%20Bar
Keng Heng Coffee Stall,Restaurant,"269 Waterloo St, Singapore",4.0,5,https://maps.google.com/?cid=15816078550006312603,
Red Wine Chicken Mee Sua,Restaurant,"327 Beach Rd, Singapore",4.7,10,https://maps.google.com/?cid=3135778466433911601,
District 10 Bar & Grill,Bar,"3 Temasek Blvd, #01-514 / 515, Singapore",4.2,289,https://maps.google.com/?cid=13998452130221956347,http://www.district10.com.sg/
British Indian Curry Hut - Guoco Midtown,Indian restaurant,"130 Beach Rd, #01-15 Guoco Midtown, Singapore",4.9,157,https://maps.google.com/?cid=12440172743120271432,https://britishindiancurryhut.sg/
A1 Indian Curry North Indian & Lebanese Cuisine,Indian restaurant,"12/13 Pahang St, Singapore",3.9,143,https://maps.google.com/?cid=4680730723521077945,http://www.a1indiancurry.com/
Al Tasneem,Indian restaurant,"709 North Bridge Rd, Singapore",4.3,819,https://maps.google.com/?cid=3263682036852450110,
Shahi Maharani North Indian Restaurant,Indian restaurant,"252 North Bridge Rd, #03–21B Raffles City Robinsons, Singapore",4.2,1170,https://maps.google.com/?cid=9946273251948504309,http://www.shahimaharani.com/
Bombay Brasserie,Indian restaurant,"26 Beach Rd, B1 - 23/24/25, Singapore",4.0,73,https://maps.google.com/?cid=1867909326634928305,https://www.tajhotels.com/en-in/hotels/bombay-brasseries-singapore/restaurants/bombay-brasserie-singapore?utm_source=google&utm_medium=Local&utm_campaign=gmb-taj-bombay-brasserie-singapore
Siraj Indian Rojak,Restaurant,"270 Queen St, #270 #01-120, Singapore",3.9,20,https://maps.google.com/?cid=16295055706322954586,
Victory Restaurant,Indian restaurant,"701 North Bridge Rd, #701, Singapore",4.0,1115,https://maps.google.com/?cid=6268378783785161899,
"The Black Taj, Bugis Junction",Restaurant,"230 Victoria St, Singapore",3.0,2,https://maps.google.com/?cid=12798852555760656882,
Jalan Kayu The Prata Cafe ( Suntec City ),Indian restaurant,"3 Temasek Blvd, B1-115 Food Republic Food Court, Singapore",3.5,6,https://maps.google.com/?cid=17147478586771973077,
Singapore Zam Zam Restaurant,Indian restaurant,"697-699 North Bridge Rd, Singapore",4.2,8937,https://maps.google.com/?cid=4359366392955917744,http://zamzam.sg/
Tiffin Room,Restaurant,"1 Beach Rd, Singapore",4.4,446,https://maps.google.com/?cid=3775664631732727752,https://www.tiffinroom.com.sg/?utm_source=google+Maps&utm_medium=seo+maps&utm_campaign=seo+maps
Kebabchi Charcoal BBQ,Restaurant,"3 Temasek Blvd, #B1-146, Singapore",4.5,783,https://maps.google.com/?cid=17215995415128414342,http://www.kebabchicharcoalbbq.com/
Bulgogi Syo @ Bugis Junction,Korean restaurant,"200 Victoria Street, Unit, #02-49 Bugis Junction",4.6,5827,https://maps.google.com/?cid=13284736297286176675,http://www.bulgogisyo.com/
MASIK-K @ Esplanade xchange (Hive),Korean restaurant,"90 Bras Basah Rd, B1-37 Esplanade xchange, Singapore",4.7,40,https://maps.google.com/?cid=4246296773977424487,
Seoul Garden - Bugis Junction,Korean restaurant,"200 Victoria St, #02 - 52, Singapore",4.3,974,https://maps.google.com/?cid=13170906006222831323,http://seoulgarden.com.sg/
Haha Korean Charcoal BBQ House,Restaurant,"1 Liang Seah St, #01-01, Singapore",3.9,37,https://maps.google.com/?cid=16863163643897080045,
sotbox,Korean restaurant,"B1-157 3, Temasek Blvd, SUNTEC CITY Mall",4.8,154,https://maps.google.com/?cid=12633998029570671570,
Wonderful BapSang,Korean restaurant,"3 Temasek Blvd, #02-609, Singapore",4.1,850,https://maps.google.com/?cid=7853937341506115623,
Dookki,Korean restaurant,"3 Temasek Blvd, #B1-107, Singapore",4.2,829,https://maps.google.com/?cid=9240417465785046774,https://www.dookkisg.com/
SOTPOT,Korean restaurant,"3 Temasek Boulevard #03-304/305, Sky Garden Suntec City",4.5,1484,https://maps.google.com/?cid=2882081039982720283,https://www.instagram.com/sotpot_official/
Ssak3 Bras Basah,Korean restaurant,"231 Bain St, #02-01, Singapore",4.2,343,https://maps.google.com/?cid=5687675144221539743,https://myneon.me/?m=menu&sno=177&v=&now=1714966832426
JINJJA Chicken Diner @ Bugis Plus,Korean restaurant,"201 Victoria St, #01-11 Bugis+, Singapore",4.2,1187,https://maps.google.com/?cid=16798699601573395339,http://jinjjachicken.com/
Paik's Noodle @ Suntec City,Korean restaurant,"3 Temasek Blvd, B1-177/177A, Singapore",4.5,1609,https://maps.google.com/?cid=14924507361537599223,https://www.instagram.com/paiks.noodlesg/
SBCD Korean Tofu House (Millenia Walk),Korean restaurant,"9 Raffles Boulevard, #01-114, Millenia Walk, Singapore",4.0,949,https://maps.google.com/?cid=17102178654976553381,https://sbcd.com.sg/
Tokyo Sundubu,Korean restaurant,"3 Temasek Blvd, #03-312, Singapore",3.7,199,https://maps.google.com/?cid=6762659951070283790,
Seoul Yummy,Korean restaurant,"201 Victoria St, #04-11 Bugis+, Singapore",4.6,1841,https://maps.google.com/?cid=14603284370542967092,http://www.seoulyummy.com/
Dosirak DUO Galleria,Korean restaurant,"7 Fraser St, B3-06/07 Duo Galleria, Singapore",4.5,44,https://maps.google.com/?cid=13603610197383837715,http://www.dosirak.com.sg/
Jjan Korean Fusion Bar,Bar,"3 Temasek Blvd, #01-606, Singapore",3.5,116,https://maps.google.com/?cid=13831146622359036845,http://www.facebook.com/Jjansg
Joo Bar,Korean restaurant,"5 Tan Quee Lan St, Singapore",4.4,803,https://maps.google.com/?cid=11531520224570149556,http://www.joo-bar.com/
Nunsaram Korean Dessert Cafe Bugis,Korean restaurant,"200 Victoria St, #01-70 Bugis Junction, Singapore",4.4,132,https://maps.google.com/?cid=429057674852819501,
Pizzamaru,Pizza restaurant,"Bugis+, 201 Victoria St, #04-03/04",4.6,1418,https://maps.google.com/?cid=9303735901098002027,https://www.pizzamaru.com.sg/
Garibaldi,Italian restaurant,"36 Purvis St, #01-02, Singapore",4.5,1019,https://maps.google.com/?cid=8964398199728029979,http://www.garibaldi.com.sg/
Mamma Mia Trattoria E Caffè (Suntec City),Italian restaurant,"3 Temasek Blvd, #B1-126A, Singapore",4.7,6888,https://maps.google.com/?cid=2066276875338205085,
Squisito,Italian restaurant,"28 Bali Ln, Singapore",4.4,463,https://maps.google.com/?cid=6399634665162539535,http://www.squisitosg.com/
d.o.c,Italian restaurant,"26 Beach Rd, B1-22 South Beach Avenue, Singapore",4.6,2314,https://maps.google.com/?cid=6773753170564754403,https://www.docsingapore.com/
Peperoni Pizzeria,Italian restaurant,"3 Temasek Blvd, #B1-130, Singapore",4.4,1157,https://maps.google.com/?cid=9677875946070837502,https://www.peperoni.com.sg/
Pizza Fabbrica,Italian restaurant,"8 Haji Ln, Singapore",4.1,563,https://maps.google.com/?cid=18063759661389215692,http://www.pizzafabbrica.sg/
PastaMania - Italian Casual Dining @ Bugis Junction,Italian restaurant,"200 Victoria St, #B1 - 08 Bugis Junction, Singapore",3.8,907,https://maps.google.com/?cid=14454766259713051306,https://www.pastamania.com.sg/
Pizza Express | Duo Galleria (Bugis),Pizza restaurant,"7 Fraser St, #01-01/02, Singapore",4.5,1391,https://maps.google.com/?cid=9856148724407060259,https://pizzaexpress.sg/
Tangled (Fresh Pasta To Go) - Bugis Junction,,200 Victoria Street B1-K10 Bugis Junction,4.0,85,https://maps.google.com/?cid=6699858091789025937,https://www.tangled.sg/
Da Paolo Gastronomia - Raffles City,Cafe,"252 North Bridge Rd, B1-45 Raffles City Shopping Centre, Raffles City Robinsons, Singapore",4.0,631,https://maps.google.com/?cid=1857431399340109579,http://www.dapaolo.com.sg/
Tangled,Restaurant,"3 Temasek Blvd, #02-601A, Singapore",4.5,21,https://maps.google.com/?cid=17155781339849121011,https://tangled.sg/
The fluffy chef,Restaurant,"47 Arab St, Singapore",4.6,81,https://maps.google.com/?cid=5168857966247560557,
Saveur Bistro,French restaurant,"5 Purvis St, #01-04, Singapore",4.1,958,https://maps.google.com/?cid=4665640997727192613,https://saveur.sg/
Brotzeit @ Raffles City,Restaurant,"252 North Bridge Rd, #01-17 Raffles City Shopping Centre, Raffles City Robinsons, Singapore",4.3,2070,https://maps.google.com/?cid=7219218245120386984,http://www.brotzeit.co/?utm_source=google&utm_medium=organic&utm_campaign=gmb
Puffy Bois pizza and slices,Bar,"20A Bali Ln, Singapore",4.9,67,https://maps.google.com/?cid=3738789489395982443,
A-Mor Turkish Kebab (695 North bridge rd),Takeout restaurant,"695 North Bridge Rd, Singapore",4.5,292,https://maps.google.com/?cid=11063099191144947098,
Camorra,Restaurant,"No: 14, Aliwal St, #02-01",5.0,30,https://maps.google.com/?cid=13076435851468143518,
Sawadee Thai Cuisine,Thai restaurant,"9 Tan Quee Lan St, Singapore",4.3,778,https://maps.google.com/?cid=5807613071276394867,http://www.sawadee-cuisine.com/
Jai Thai Purvis Street,Thai restaurant,"27 Purvis St, #01-01 Ann Chuan Building, Singapore",3.9,489,https://maps.google.com/?cid=10378976104563770139,http://www.jai-thai.com/
